# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
	FS	ko-KR	
	KAM	ko-KR	
	RMM	ko-KR	
	감사	ko-KR	
	감사보고서	ko-KR	
	감사보고서일	ko-KR	
	감사위	ko-KR	
	감사인은	ko-KR	
	감사인의	ko-KR	
	감사인이	ko-KR	
	감사절차	ko-KR	
	감사증거를	ko-KR	
	거래	ko-KR	
	거래유형	ko-KR	
	검사	ko-KR	
	결론	ko-KR	
	결정	ko-KR	
	경영진	ko-KR	
	경영진의	ko-KR	
	경영진이	ko-KR	
	경영진주장	ko-KR	
	계속기업	ko-KR	
	계정잔액	ko-KR	
	계중불	ko-KR	
	고유한	ko-KR	
	공인회계사	ko-KR	
	관련	ko-KR	
	관련성 있는	ko-KR	
	관한	ko-KR	
	그룹감사	ko-KR	
	그룹감사인	ko-KR	
	그룹경영진	ko-KR	
	기업	ko-KR	
	기준에	ko-KR	
	기준의	ko-KR	
	내부통제	ko-KR	
	내부회계관리제도	ko-KR	
	내회관	ko-KR	
	당기	ko-KR	
	독립성	ko-KR	
	매출	ko-KR	
	미비점	ko-KR	
	방법	ko-KR	
	범위	ko-KR	
	법규위반	ko-KR	
	보고기간	ko-KR	
	부문감사인	ko-KR	
	부문감사인이	ko-KR	
	부정	ko-KR	
	부정이나	ko-KR	
	사업연도	ko-KR	
	사항	ko-KR	
	성격	ko-KR	
	성시범	ko-KR	
	성실성	ko-KR	
	손해배상	ko-KR	
	손해배상공동기금	ko-KR	
	손해배상준비금	ko-KR	
	수익	ko-KR	
	수행	ko-KR	
	시기	ko-KR	
	신뢰성	ko-KR	
	실의혐	ko-KR	
RMM	알엠엠	ko-KR	
	어떻게	ko-KR	
	여부	ko-KR	
	영향	ko-KR	
	오류	ko-KR	
	완전성	ko-KR	
	왜곡표시를	ko-KR	
	외부감사법	ko-KR	
	외부조회	ko-KR	
	요구사항	ko-KR	
	위험	ko-KR	
	위험에	ko-KR	
	위험평가	ko-KR	
	위협	ko-KR	
	유의적	ko-KR	
	윤리기준	ko-KR	
	윤리적	ko-KR	
	의견	ko-KR	
	의견변형	ko-KR	
	이기적	ko-KR	
	입수하기	ko-KR	
	입수한	ko-KR	
	자기검토위협	ko-KR	
	재고	ko-KR	
	재무보고체계	ko-KR	
	재무정보	ko-KR	
	재무제표	ko-KR	
	재무제표에	ko-KR	
	재무제표의	ko-KR	
	적격성	ko-KR	
	적합한	ko-KR	
	전기	ko-KR	
	전문가	ko-KR	
	전문가적	ko-KR	
	절차	ko-KR	
	정보	ko-KR	
	정직성	ko-KR	
	정확성	ko-KR	
	조회	ko-KR	
	주권상장법인	ko-KR	
	주대금	ko-KR	
	주주총회	ko-KR	
	주총	ko-KR	
	준거	ko-KR	
	중요성	ko-KR	
	중요성을	ko-KR	
	중요왜곡표시위험	ko-KR	
	중요한	ko-KR	
	중요한 불확실성	ko-KR	
	증거	ko-KR	
	지배기구	ko-KR	
	직접	ko-KR	
	질문	ko-KR	
	책임	ko-KR	
	추가감사절차	ko-KR	
	추가적인	ko-KR	
	추정치	ko-KR	
	충분한	ko-KR	
	충적감증	ko-KR	
KAM	켐	ko-KR	
	테스트	ko-KR	
	통제	ko-KR	
	특수관계	ko-KR	
	특수관계인	ko-KR	
	판단	ko-KR	
	평가	ko-KR	
	평가를	ko-KR	
	필요한	ko-KR	
	한계	ko-KR	
	회계	ko-KR	
	회계감사	ko-KR	
	회계감사기준	ko-KR	
	회계법인	ko-KR	
	회계변경	ko-KR	
	회계정책	ko-KR	
	후속사건	ko-KR	
