사례번호,관련경영진주장,업종,규모,주제,상황,선정이유,핵심감사사항,감사인의절차
1,운송주선용역 매출의 발생사실 및 기간귀속,서비스업,자산 2조원 이상,수익인식,"연결그룹은 운송주선용역을 수행하고 있으며, 2021년 12월 31일로 종료하는 보고기간에 인식된 운송주선 매출은 337,756백만원입니다. 운송주선용역은 주로 국가간 수출 또는 수입에 따라 발생하며, 고객과의 계약에 따라 다양한 수행의무가 존재하고, 계약 조건에 따라 용역의 이전 시기가 다르기 때문에 수익인식 시점에 대한 경영진의 판단이 요구됩니다. 특히, 연결그룹의 운송주선용역은 특수관계자와의 중요한 거래를 포함하고 있습니다.",우리는 연결그룹의 판단 오류나 경영진의 의도에 따른 운송용역 매출의 발생사실 및 기간 오류 가능성을 고려하여 동 사항을 핵심감사사항으로 선정하였습니다.,운송주선용역 매출의 발생사실 및 기간귀속의 적정성,"①운송주선용역에 대한 수익 인식 회계정책에 대한 이해와 평가
②운송주선용역 관련 통제의 설계와 운영의 효과성 테스트
③당기 중 발생한 매출 거래에 대하여 표본추출방식을 이용하여 발생증빙과 연결그룹의 수익인식시점 비교 대사
④보고기간말 전후에 발생한 수출 매출거래의 수익인식시점의 적정성 확인을 위하여 추출한 표본거래에 대한 문서검사
⑤보고기간말 현재 진행중인 운송계약과 관련하여 인식한 수익에 대한 재계산"
2,어획물매출 및 제품매출 기간귀속,농림어업,자산 2조원 이상,수익인식,"연결회사의 어획물매출은 태평양과 인도양 등의 조업지역에서 선박을 통해 어획한 참치 등을 판매하여 발생하고 있습니다. 어획물매출은 고객 및 계약조건 등에 따라 수익을 인식하는 시점이 다양하고, 두 개 이상의 수행의무가 존재할 수 있습니다. 또한, 연결회사는 미국 소재 유통사업부문을 통해 미국 전역에 다양한 참치 가공 제품을 판매하고 있습니다. 연결회사는 다수의 이해관계자가 존재하는 유가증권시장 상장회사로서 수익은 연결회사의 주요 성과지표에 포함됩니다.","우리는 이러한 수익의 고유위험과 어획물매출 및 미국 소재 유통사업부문의 제품 매출이 연결회사 수익에서 차지하는 유의성, 그리고 다양한 계약조건에 따라 발생할 수 있는 수익의 왜곡표시위험을 고려하여 어획물매출 및 유통사업부문 제품매출 기간귀속의 적정성을 핵심감사사항으로 식별하였습니다.",어획물매출 및 제품매출 기간귀속의 적정성,"①수익인식기준에 따른 통제이전시점 적절성 검토
②어획물매출 및 제품매출 관련 연결회사의 정책, 프로세스 및 내부통제 이해
③어획물매출의 기간귀속에 대한 연결회사의 내부통제 평가
④보고기간 말에 근접하게 발생하였거나 높은 위험 요소를 가진 특정 매출에 대한 회계기록 및 원천증빙 확인"
3,투입법에 따른 수익인식,제조업(수주산업),자산 2조원 이상,수익인식,"연결회사는 공사계약의 결과를 신뢰성 있게 추정할 수 있는 경우 계약수익과 계약원가를 보고기간 종료일 현재 계약 활동의 진행률을 기준으로 하여 각각 수익과 비용으로 인식하고 있습니다. 계약활동의 진행률은 진행단계를 반영하지 못하는 계약원가를 제외하고 수행한 공사에 대하여 발생한 누적계약원가를 추정 총계약원가로 나눈 비율로 측정하고 있으며, 총계약원가는 재료비, 노무비, 공사기간 등의 미래 예상치에 근거하여 추정합니다. 과거 회계연도에는 해양 플랜트 부문에서 예측하지 못한 공정지연, 공정비효율 등으로 인하여 예정원가 대비 공사 원가가 크게 증가한 바 있었으며, 당기에는 상선 및 특수선 부문에서 주요 원자재의 가격 변동 및 환율변동으로 인한 가격변동효과, 수주가정의 변동 등으로 인하여 총계약원가 추정이 변경되었습니다.","재료비 등의 변동위험에 따른 총계약원가 추정의 불확실성 증가와 추정치 변동이 당기손익 또는 미래손익에 미치는 영향을 고려할 때, 총계약원가 추정의 불확실성은 유의적인 위험으로 식별됩니다. 또한 연결회사는 고객이 공사 변경 등으로 인한 수익금액의 변동을 승인할 가능성이 높거나 연결회사가 성과기준을 충족할 가능성이 높고 금액을 신뢰성 있게 측정할 수 있는 경우에 계약수익에 포함합니다.",투입법에 따른 수익인식,"①경영진이 투입법에 따른 수익인식을 적용하는 회계정책의 적정성 검토
②경제적 효익의 유입가능성에 대한 감사 절차
③계약조건 검토
④유사 선종 선가의 유의적 하락 여부에 대한 검토 및 계약해지 조건에 대한 검토
⑤발주처 재무상태 및 프로젝트 진행상황에 대한 질문
⑥경영진이 총 계약원가 산정을 위하여 연결회사가 설계, 적용하고 있는 내부통제 절차에 대한 시사절차 수행"
4,총계약원가 추정의 불확실성,건설업,자산 5천억원 미만,수익인식,"총계약원가는 공사기간 중 재료비, 노무비, 외주비 등의 항목별로 미래 예상치에 근거하여 추정합니다. 재무제표에 대한 주석에 기재한 바와 같이, 당기 중 총계약수익의 변동액과 추정총계약원가의 변동액은 각각 13,675백만원과 27,754백만원이며, 이러한 추정치 변동에 따라 당기와 미래기간의 손익에 미치는 영향은 각각 6,000백만원 이익감소 및 8,080백만원 이익감소입니다. 회사의 토목, 건축, 분양 사업부문은 공사계약을 체결하고 평균 2년 이상의 장기간에 걸쳐 공사를 진행합니다.",총계약원가 추정의 불확실성에 따른 재무제표에 미치는 영향이 크기 때문에 우리는 회사의 총계약원가 추정의 불확실성을 유의적인 위험으로 식별하였습니다.,총계약원가(또는 공사예정원가) 추정의 불확실성,"①당기 중 종료된 공사계약 중에서 추정총계약원가 대비 총투입원가의 유의적인 차이가 존재하는 계약에 대하여 차이원인에 대한 질문 및 관련 문서 확인
②총계약원가에 대하여 정당한 승인권자가 관련 실행예산을 검토하고 승인하는 내부통제의 검토
③총계약원가의 유의적인 변동이 있는 계약에 대하여 변동원인에 대한 질문 및 변동 사유 관련 증빙의 확인
④당기 중 계약변경이 있는 건설계약에 대하여 추정총계약원가가 적절히 반영되어 있는지에 대하여 질문 및 관련 문서의 확인
⑤전기말과 당기말의 준공예정원가율을 비교분석하여 유의적 차이가 있는 프로젝트에 대하여 질문하고 필요한 경우 관련 증빙 확인"
5,PG수수료 매출의 정확성,도소매업,자산 5천억원 이상 2조원 미만,수익인식,"2021년 중 발생한 PG수수료 매출은 574,280백만원으로, 회사의 영업수익에서 차지하는 비중 및 복잡성을 고려하였습니다. PG수수료 매출은 다수의 가맹대리점과의 계약 조건에 따라 결정되며 영업시스템에 집계된 다수의 고객정보 및 다양한 계약조건 등 대량의 데이터를 기반으로 복잡한 처리과정을 통해 회사의 PG수수료 매출 금액이 결정되고 재무시스템에 기록됩니다.",이러한 복잡한 처리과정 및 대량의 데이터 처리로 인하여 수익인식 금액이 적절하지 않을 잠재적 위험이 존재합니다. 따라서 우리는 PG수수료 매출의 정확성과 관련하여 유의적인 위험이 있는 것으로 판단하였습니다.,PG수수료 매출의 정확성,"①회사의 PG수수료 매출인식에 대한 회계정책 및 통제를 이해하고 평가
②회사의 영업시스템에 대한 전산 일반통제활동에 대한 통제활동 절차의 적절성 확인
③독립적인 재수행을 통하여 영업시스템의 승인금액의 정확성 및 기간귀속을 확인
④표본추출을 통하여 데이터 변경 시 사전 승인 여부 및 근거 문서검사를 통한 통제활동의 적절성 확인
⑤회사의 영업시스템과 재무회계시스템에서 인식한 PG수수료 매출의 대사
⑥표본추출 방법에 의해 근거문서 대사를 통한 PG수수료 매출인식액의 정확성 확인"
6,영업권 손상평가,제조업,자산 2조원 이상,자산손상,"2021년 12월 31일 현재 연결회사의 영업권 장부금액은 862,741백만원으로 연결총자산의 10.5%입니다. 연결회사는 영업권의 손상평가를 위해, 향후 4.25년 동안의 재무예측과 잔존가치가 반영된 사용가치모형을 적용하여 현금창출단위들의 회수가능액을 추정하였습니다. 이 모형의 주요 가정은 매출성장률, 영업이익률, 장기성장률 및 할인율이 포함됩니다. 연결회사의 경영진은 회수가능액 측정을 위해 독립적인 외부 전문가를 활용하였습니다.","우리는 영업권에 대한 손상을 평가하는 과정이 복잡하고, 매출성장률 및 할인율을 포함한 경영진의 판단 및 추정에 따라 손상평가의 결과가 상이하게 결정될 수 있다는 점을 고려하여, 영업권 손상평가에 관심을 기울였습니다.",영업권 포함 현금창출단위 손상평가,"①영업권 손상평가 관련 연결회사 절차 및 내부통제를 이해하고 평가
②현금창출단위의 사용가치 추정에 적용된 가치평가 모형의 수학적인 정확성을 확인
③미래 현금흐름 추정이 경영진에 보고 승인된 사업계획과 일치하는지 확인
④추정치에 낙관적인 가정이 포함되었는지 사후적으로 확인하기 위하여 당기 실제 성과와 전기 추정을 비교
⑤사용가치 추정에 참여한 경영진측 전문가의 적격성과 독립성을 평가
⑥사용가치 추정에 사용된 주요 가정의 합리성 평가
⑦할인율, 영업이익률 및 영구성장률에 대한 민감도 분석 결과 평가"
7,COVID-19으로 인한 사업부 자산손상,숙박 및 음식료업,자산 2조원 이상,자산손상,"COVID-19 상황에서 COVID-19의 종식시점 및 COVID-19가 연결실체에 미치는 영향의 추정에 중요한 불확실성이 존재합니다. 회사의 재무제표 전반에 미치는 영향에 대해 검토한 결과, 호텔사업부의 자산손상에 유의적인 위험이 있을 것으로 판단됩니다. 실제로 당기 중 호텔 휴장과 사회적 거리두기의 여파로 호텔사업부는 31,016백만원의 영업손실을 기록하였습니다. 또한 당기말 현재 호텔사업부의 유형자산 및 사용권자산은 766,576백만원으로 전체 재무제표 및 호텔부문 재무제표에 미치는 영향이 유의적입니다.",현금창출단위별 회수 가능가액 추정 시 미래 예상현금흐름 및 주요 가정에 대한 경영진의 유의적인 판단과 불확실성이 존재합니다. 그러므로 우리는 COVID-19으로 인한 호텔사업부 자산손상을 핵심감사사항으로 식별하였습니다.,COVID-19으로 인한 사업부 자산손상,"①회사의 손상검사와 관련한 내부프로세스 이해 및 내부통제제도에 대한 설계 및 운영의 효과성 평가
②회사의 현금창출단위 식별 및 손상징후 검토내용에 대한 독립적인 검토
③회사 측 외부 평가전문가의 적격성, 경험 및 전문성 평가와 객관성 및 독립성 확인
④손상검사 시 사용된 재무예측치와 경영진에 의해 승인된 사업계획의 비교 검토
⑤감사인 측 내부평가전문가 활용을 통한 경영진이 현금창출단위의 사용가치 계산 시 사용한 할인율과 추정에 사용한 가정 및 방법론의 적정성 검토"
8,비한정 내용연수 산업재산권 및 영업권 손상평가,제조업,자산 2조원 이상,자산손상,"연결회사는 2014년 중 사업결합으로 발생한 비한정 내용연수 산업재산권 및 영업권 중 인적분할시 배부된 74,213백만원의 비한정 내용연수 산업재산권 및 5,085백만원의 영업권에 대하여 매년 손상검사를 수행하고 있습니다. 회수가능액은 사용가치를 기초로 결정하며, 사용가치는 자산의 계속적인 사용으로부터 기대되는 미래현금흐름을 할인하여 결정하였습니다.","사용가치 추정에 중요한 영향을 미치는 미래 판매량, 판매단가, 연료도입비, 할인율 등의 주요 가정의 결정에는 경영진의 유의적인 판단이 개입됩니다. 관련 자산의 장부금액은 연결재무제표에서 중요하고, 할인현금흐름을 예측하는 것은 복잡하므로 우리는 비한정 내용연수 산업재산권 및 영업권의 손상평가를 핵심감사사항으로 식별하였습니다.",비한정 내용연수 산업재산권 및 영업권에 대한 손상 평가,"①부문감사인의 독립성, 객관성 및 적격성에 대한 확인
②부문감사인이 입수한 감사증거의 충분성과 적합성에 대한 검토
③비한정 내용연수 무형자산 및 영업권의 손상 프로세스의 주요 내부통제에 대한 이해
④경영진이 사용가치 산정에 사용한 미래 예측 판매량, 판매단가 등 주요 입력변수에 대한 경영진의 편의 검토
⑤내부 가치평가 전문가를 활용하여 시장 및 연결회사 고유의 정보를 기초로 재계산된 할인율 검토
⑥할인현금흐름 예측에 적용된 할인율에 대한 경영진의 민감도 분석을 입수하고 평가"
9,영업권 및 비한정내용연수 무형자산 손상평가,제조업,자산 2조원 이상,자산손상,"연결회사는 사업결합으로 취득한 영업권 및 비한정내용연수 무형자산에 대해서 자산 손상을 시사하는 징후와 관계없이 매년 회수가능액과 장부금액을 비교하여 손상검토를 수행하고 있으며, 2021년 12월 31일 현재 연결회사는 영업권 4,349백만원 및 내용 연수가 비한정인 무형자산에 해당하는 인허가권 10,583백만원을 인식하고 있습니다. 영업권 및 비한정내용연수 무형자산 손상검토 시 경영진은 사용가치모형을 사용하여 회수가능액을 평가하였습니다.","현금창출단위의 사용가치 결정에는 예상 미래현금흐름의 추정을 위한 매출성장률, 인건비, 영구성장률, 그리고 할인율 등과 관련한 경영진 및 감사인의 유의적인 판단을 필요로 합니다. 해당 주요 가정들의 변동이 연결회사의 영업권 및 비한정내용연수 무형자산 손상검토에 미치는 잠재적인 영향이 중요하다고 판단되어, 우리는 사업결합에 따라 인식한 영업권 및 내용연수가 비한정인 무형자산 손상검토를 핵심감사사항으로 식별하였습니다.",영업권 및 비한정내용연수 무형자산 손상평가,"①영업권 및 비한정내용연수 무형자산 손상 회계처리 관련 연결회사의 정책, 프로세스 및 내부통제 이해
②손상검토를 위한 사업계획 추정자료 및 기초변수에 대한 검토 및 승인에 대한 내부통제 평가
③미래 예상 현금흐름을 경영진에 의해 승인된 사업계획과 비교하여 그 합리성을 평가
④연결회사의 현금창출단위 판단 및 각 현금창출단위에 배부된 순자산 적절성 검토
⑤연결회사가 활용한 외부전문가의 적격성 및 독립성 평가
⑥이용 가능한 외부 데이터 및 주요 계약검토를 통한 주요 투입 변수의 유효성에 대한 검증
⑦평가금액 계산의 정확성 검증 및 민감도 분석을 통한 회수가능액의 적절성 검토"
10,현금창출단위의 손상평가,제조업,자산 5천억원 이상 2조원 미만,자산손상,"연결회사는 보고기간말 현재 비금융자산에 대하여 손상징후의 존재 여부를 평가하여 자산손상을 시사하는 징후가 있을 때 손상평가를 수행합니다. 연결회사는 당기 중 특정 사업부 현금창출단위의 실적 부진과 경쟁적 시장상황을 고려하여 해당 현금창출단위에 손상 징후가 존재한다고 판단하여 손상검사를 수행하였습니다. 연결회사는 2021년 12월 31일 현재 손상평가를 수행한 결과, 현금창출단위의 장부가액이 회수가능액을 초과한다고 판단하여 유형자산 및 사용권자산, 무형자산에 대하여 37,577백만원의 손상차손을 인식하였습니다.",우리는 특정 사업부의 사용가치 평가에 포함된 미래현금흐름 추정의 복잡성 및 경영진의 유의적 판단의 개입가능성을 고려하여 손상평가를 핵심감사사항으로 식별하였습니다.,현금창출단위의 손상평가,"①경영진에게 질문 및 관찰을 통하여, 현금창출단위 구분에 대한 절차의 이해 및 적절성 검토
②회사측 외부 전문가의 적격성, 경험 및 전문성 평가와 객관성 및 독립성 검토
③회사측 외부 평가전문가에 의해 작성된 손상보고서 검토
④내부 평가전문가 활용을 통한 평가방법의 적정성 및 사용된 가정의 적정성 검토
⑤사용가치 측정에 사용된 재무예측치와 경영진에 의해 승인된 재무예측치의 검토
⑥평가에 사용된 할인율 및 영구성장율에 대한 민감도 분석을 통해 주요 가정의 변동에 따른 경영진의 평가결과에 미치는 영향 검토"
